headword,meaning,page,headword_conf,quality_score,approval_source,flags,verdict,corrected_headword,notes
الرّاحَةٌ,باطن الكف,252,33.9,75,easy_review_auto_approved,headword_conf_lt_40;very_short_gloss,,,
الفتيله,قطعة من قماش تتدلي في الغاز داخل السراج وتشعل فتعطى نوراً,145,34.3,85,easy_review_auto_approved,headword_conf_lt_40,,,
محَافيل,النساء القادمات لحضور حفل الزفاف الزواج لكنهن متحجبات حتى الايعرفن,126,34.5,85,easy_review_auto_approved,headword_conf_lt_40,,,
القّب,أصائل الخيل الضمر الطويلة ١مل,257,34.5,85,easy_review_auto_approved,headword_conf_lt_40;gloss_has_ocr_digit_noise,,,
مُخُلدم,مقطب الجبين غاضب,209,34.8,85,easy_review_auto_approved,headword_conf_lt_40,,,
الصَههبًا,أغمق من السحما,272,34.9,75,easy_review_auto_approved,headword_conf_lt_40,,,
عُزيِب,إذا ذهبت الماشة للرعى وبقيت أياماً ْ,78,35.2,85,easy_review_auto_approved,headword_conf_lt_40,,,
يبِيس,التمر عندما ينشف,60,35.5,85,easy_review_auto_approved,headword_conf_lt_40,,,
بوَاق,كنايه عن السرقه واللصوصيه,204,35.5,85,easy_review_auto_approved,headword_conf_lt_40,,,
يُرغغي,الجمل أو الناقة,268,35.5,85,easy_review_auto_approved,headword_conf_lt_40;impossible_bigram(غغ),,,
مجفَات,عادة تكون من الخشب وهي ا التى يغرف بها الأكل,157,35.6,85,easy_review_auto_approved,headword_conf_lt_40,,,
بغيله,من الخشب وبوسطها حبل يلف على قدمي من يراد فرشه وضرب قدمية,138,35.8,85,easy_review_auto_approved,headword_conf_lt_40,,,
حيّاها,فرج البقرة أوالناقة وبقيه الحيوانات,266,35.8,85,easy_review_auto_approved,headword_conf_lt_40,,,
النَّومَة,هو أعلى الشط وشحمها نقي,276,35.8,85,easy_review_auto_approved,headword_conf_lt_40,,,
تمَوْط,المرأة تحرك العجينه,217,36.0,85,easy_review_auto_approved,headword_conf_lt_40,,,
الدُرّكه,تعمل من الحبل على هيئة دائره مفروض وسطها وملفوف علية حبل ويدخل فى الدركه,39,36.2,85,easy_review_auto_approved,headword_conf_lt_40,,,
هيش,نداء من الزوج لزوجته,221,36.3,85,easy_review_auto_approved,headword_conf_lt_40,,,
يذّخر,يصنع قليلاً من البارود فى عين ه6٠ مآ,254,36.3,85,easy_review_auto_approved,headword_conf_lt_40;gloss_has_ocr_digit_noise,,,
خُلَوج,الناقة أذا مات أو ذبح حوارها تظل مده نحن وتخلج وتعود إلى المكان الذى فقدته فيه,278,36.4,85,easy_review_auto_approved,headword_conf_lt_40,,,
مكنه.,أنثى الجراد,306,36.4,75,easy_review_auto_approved,headword_conf_lt_40;very_short_gloss,,,
قَطّب,أقوى من الكف,192,36.9,75,easy_review_auto_approved,headword_conf_lt_40,,,
مدوقع,يتألف من ظلاف وفروق بدون عصاريف ويكون الحمل فوقه,81,37.0,85,easy_review_auto_approved,headword_conf_lt_40,,,
مُوْسات,خشبه مستطلة وبوسطها فتحه الأرض بعد حرثها,41,37.4,85,easy_review_auto_approved,headword_conf_lt_40,,,
الكفا,يتألف من الأبهام والسبابة والوسطى والبنصر والختصر,252,37.6,85,easy_review_auto_approved,headword_conf_lt_40,,,
تَشْبه,يقال للأنسان ثقيل الدم إذا ورطت به ولم تستطيع التخلص مله,209,37.7,85,easy_review_auto_approved,headword_conf_lt_40,,,
شُعَدي,هو البدوي المقيم في الحاضره,184,37.8,85,easy_review_auto_approved,headword_conf_lt_40,,,
الحوض,يعمل من جلد الإبل أو البقر وتسقى الإبل والغنم فيه ويوضع,65,38.2,85,easy_review_auto_approved,headword_conf_lt_40,,,
بُحلت,أي يرمى بالحجارة يقال يرجم,218,38.3,85,easy_review_auto_approved,headword_conf_lt_40,,,
حَافُول,فرخ العصافير عند مايخرج من,303,38.3,85,easy_review_auto_approved,headword_conf_lt_40,,,
صرام,هو جذ النخل بتقطيع العذوق دفعة واحدة,61,38.6,85,easy_review_auto_approved,headword_conf_lt_40,,,
بزباره.,كثير الكلام وبدون فائده,203,38.6,85,easy_review_auto_approved,headword_conf_lt_40,,,
قمّوع,التمر الذى يقدم مع القهوة فى أى وفقت,59,38.7,85,easy_review_auto_approved,headword_conf_lt_40,,,
جصه,هى بناء من الحجر يوضع فيه التمر ويرص وتوضع به مؤنه العام كله من التمر,98,39.0,85,easy_review_auto_approved,headword_conf_lt_40,,,
الصفته,احد جيبي الخرج الذي يوضع فوق الشداد وبها توضع الأشياء المهمه كالملابس والنقود وغيرها,80,39.2,85,easy_review_auto_approved,headword_conf_lt_40,,,
لملْفَاع,هو العذق بعد أن يقطع وينشف,146,39.2,85,easy_review_auto_approved,headword_conf_lt_40,,,
ثلّمه,فتحه فى الجدار يخرج منها ا الناس 4م,43,39.3,85,easy_review_auto_approved,headword_conf_lt_40;gloss_has_ocr_digit_noise,,,
الكم,.فم الغرب,29,39.4,75,easy_review_auto_approved,headword_conf_lt_40;very_short_gloss,,,
حفّاه,شقوق فى خف الجما -741,295,39.4,85,easy_review_auto_approved,headword_conf_lt_40;gloss_has_ocr_digit_noise,,,
العَتبه,من الحجارة توضع أسفل الباب لتحميى البيت من دخول السيول,92,39.7,85,easy_review_auto_approved,headword_conf_lt_40,,,
مجَاهيِم,الإبل السوداء,275,39.8,75,easy_review_auto_approved,headword_conf_lt_40;very_short_gloss,,,
تَخَلْبص,الحبل أو الخيط إذا دخل بعضه في بعض وصعب تخليصه الشكل ومتحرك بحيث يتم تحريكه بعد وضع الطين بداخله,198,39.9,85,easy_review_auto_approved,headword_conf_lt_40,,,
صاألوخ,نوع من الحجارة الهشه بيضاء اللون تستعمل لتنظيف لوح القراءة واعطائة لونا أبيضا بعد أن ينشف,197,47.2,85,easy_review_auto_approved,impossible_bigram(اأ),,,
زثقرة,. دمنه توضع فى رأس عود 0-١ وتقرب أمام أنف أي شخص لاغاظته لقياس ثتحملة وصبرة على الأغاظة,225,70.2,100,high_confidence,impossible_bigram(زث);gloss_has_ocr_digit_noise,,,
